Record Length,Analog:14000
Sample Interval,CH:0.0000000500000
Vertical Units,CH1:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-03 CH4:+5.000000E-01,,,
Vertical Offset,CH1:+6.400000E-04 CH4:+2.700000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,50.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2044,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH4
Second,Volt,Volt
-5.370000E-05,-8.799999E-04,-1.970000E+00
-5.365000E-05,-9.600000E-04,-1.990000E+00
-5.360000E-05,-9.600000E-04,-1.990000E+00
-5.355000E-05,-9.600000E-04,-1.990000E+00
-5.350000E-05,-8.799999E-04,-1.970000E+00
-5.345000E-05,-9.600000E-04,-1.970000E+00
-5.340000E-05,-8.799999E-04,-1.990000E+00
-5.335000E-05,-9.600000E-04,-1.990000E+00
-5.330000E-05,-9.600000E-04,-1.990000E+00
-5.325000E-05,-8.799999E-04,-1.990000E+00
-5.320000E-05,-1.040000E-03,-1.990000E+00
-5.315000E-05,-9.600000E-04,-1.990000E+00
-5.310000E-05,-9.600000E-04,-1.970000E+00
-5.305000E-05,-8.799999E-04,-1.990000E+00
-5.300000E-05,-1.040000E-03,-1.990000E+00
-5.295000E-05,-9.600000E-04,-1.970000E+00
-5.290000E-05,-9.600000E-04,-1.990000E+00
-5.285000E-05,-8.799999E-04,-1.990000E+00
-5.280000E-05,-9.600000E-04,-1.990000E+00
-5.275000E-05,-9.600000E-04,-1.990000E+00
-5.270000E-05,-9.600000E-04,-1.970000E+00
-5.265000E-05,-1.040000E-03,-1.970000E+00
-5.260000E-05,-1.040000E-03,-1.990000E+00
-5.255000E-05,-1.040000E-03,-1.970000E+00
-5.250000E-05,-1.040000E-03,-1.990000E+00
-5.245000E-05,-9.600000E-04,-1.990000E+00
-5.240000E-05,-9.600000E-04,-1.990000E+00
-5.235000E-05,-1.040000E-03,-1.990000E+00
-5.230000E-05,-8.799999E-04,-1.990000E+00
